	CÓDIGO DA OCORRÊNCIA	CLASSIFICAÇÃO	TIPO DE OCORRÊNCIA	LOCALIDADE	UF	PAÍS	DIA DA OCORRÊNCIA	STATUS DA INVESTIGAÇÃO	CONTAGEM
1950	45927	ACIDENTE	COM TREM DE POUSO	TATUÍ	SP	BRASIL	2012-05-26	FINALIZADA	1
1951	53359	ACIDENTE	POUSO ANTES DA PISTA	TATUÍ	SP	BRASIL	2015-07-09	ATIVA	1
1952	48793	ACIDENTE	POUSO BRUSCO	TAUBATÉ	SP	BRASIL	2013-05-18		1
1953	48801	ACIDENTE	PERDA DE CONTROLE EM VOO	TAUBATÉ	SP	BRASIL	2013-06-15		1
1954	47353	INCIDENTE GRAVE	COM TREM DE POUSO	TAUBATÉ	SP	BRASIL	2013-03-29	FINALIZADA	1
1955	51437	INCIDENTE GRAVE	FALHA DO MOTOR EM VOO	TAUBATÉ	SP	BRASIL	2014-05-03		1
1956	37183	ACIDENTE	FALHA DO MOTOR EM VOO	TAUBATÉ	SP	BRASIL	2009-04-30	FINALIZADA	1
1957	36657	ACIDENTE	PANE SECA	TAUBATÉ	SP	BRASIL	2009-04-02	FINALIZADA	1
1958	53232	ACIDENTE	FALHA DO MOTOR EM VOO	TIETÊ	SP	BRASIL	2015-05-01	ATIVA	1
1959	44645	ACIDENTE	PERDA DE CONTROLE NO SOLO	TIETÊ	SP	BRASIL	2011-06-23	ATIVA	1
1960	48661	INCIDENTE GRAVE	PERDA DE CONTROLE NO SOLO	TIETÊ	SP	BRASIL	2013-05-25	FINALIZADA	1
1961	50248	ACIDENTE	PERDA DE CONTROLE EM VOO	TUPI PAULISTA	SP	BRASIL	2013-12-15	FINALIZADA	1
1962	51754	ACIDENTE	FALHA DO MOTOR EM VOO	UBATUBA	SP	BRASIL	2014-07-05		1
1963	49155	ACIDENTE	FALHA DE SISTEMA / COMPONENTE	UBATUBA	SP	BRASIL	2013-07-05		1
1964	46414	ACIDENTE	COLISÃO EM VOO COM OBSTÁCULO	UBATUBA	SP	BRASIL	2012-09-25	FINALIZADA	1
1965	47023	INCIDENTE GRAVE	OUTROS TIPOS	UBATUBA	SP	BRASIL	2013-02-16	FINALIZADA	1
1966	31856	ACIDENTE	COLISÃO EM VOO COM OBSTÁCULO	UBATUBA	SP	BRASIL	2008-01-23	FINALIZADA	1
1967	38656	ACIDENTE	PERDA DE CONTROLE EM VOO	ROMARIA	MG	BRASIL	2009-10-10	FINALIZADA	1
1968	53201	INCIDENTE GRAVE	COM TREM DE POUSO	VERA CRUZ	SP	BRASIL	2015-04-02	ATIVA	1
1969	53500	ACIDENTE	PERDA DE CONTROLE EM VOO	VERA CRUZ	SP	BRASIL	2015-10-11	ATIVA	1
1970	44734	ACIDENTE	COM TREM DE POUSO	VERA CRUZ	SP	BRASIL	2011-07-02	ATIVA	1
1971	38416	INCIDENTE GRAVE	POUSO EM LOCAL NÃO PREVISTO	VIRADOURO	SP	BRASIL	2009-08-22	ATIVA	1
1972	47109	INCIDENTE GRAVE	PANE SECA	SACRAMENTO	MG	BRASIL	2013-03-04	FINALIZADA	1
1973	47351	ACIDENTE	PERDA DE CONTROLE NO SOLO	VITÓRIA BRASIL	SP	BRASIL	2013-03-18	ATIVA	1
1974	52691	INCIDENTE GRAVE	FALHA DO MOTOR EM VOO	SANTANA DO PARAÍSO	MG	BRASIL	2014-10-24		1
1975	46260	ACIDENTE	COLISÃO COM PÁSSARO	TARUMIRIM	MG	BRASIL	2012-08-13	ATIVA	1
1976	44811	ACIDENTE	INDETERMINADA	TEÓFILO OTONI	MG	BRASIL	2011-05-17		1
1977	40316	INCIDENTE GRAVE	FALHA DE SISTEMA / COMPONENTE	TIMÓTEO	MG	BRASIL	2010-02-26	FINALIZADA	1
1978	52970	ACIDENTE	PERDA DE CONTROLE EM VOO	TIRADENTES	MG	BRASIL	2015-01-19		1
1979	47108	ACIDENTE	PERDA DE CONTROLE EM VOO	TIROS	MG	BRASIL	2013-02-27	ATIVA	1
1980	45734	ACIDENTE	FALHA DO MOTOR EM VOO	TIROS	MG	BRASIL	2012-04-06	FINALIZADA	1
1981	31379	ACIDENTE	PERDA DE CONTROLE EM VOO	TRÊS CORAÇÕES	MG	BRASIL	2008-01-11	FINALIZADA	1
1982	53431	ACIDENTE	PERDA DE CONTROLE EM VOO	TUMIRITINGA	MG	BRASIL	2015-07-14		1
1983	50794	ACIDENTE	FALHA DO MOTOR EM VOO	TURMALINA	MG	BRASIL	2014-01-27	FINALIZADA	1
1984	46154	INCIDENTE GRAVE	COM TREM DE POUSO	UBERABA	MG	BRASIL	2012-07-12	FINALIZADA	1
1985	52872	ACIDENTE	PERDA DE COMPONENTE NO SOLO	UBERABA	MG	BRASIL	2014-12-23	FINALIZADA	1
1986	50771	ACIDENTE	PERDA DE CONTROLE NO SOLO	UBERABA	MG	BRASIL	2014-01-03	FINALIZADA	1
1987	31277	ACIDENTE	PERDA DE CONTROLE EM VOO	UBERABA	MG	BRASIL	2007-12-08	FINALIZADA	1
1988	50335	ACIDENTE	PANE SECA	UBERABA	MG	BRASIL	2013-11-20	ATIVA	1
1989	52241	INCIDENTE GRAVE	COM TREM DE POUSO	UBERLÂNDIA	MG	BRASIL	2012-01-21		1
1990	49672	INCIDENTE GRAVE	PANE SECA	UBERLÂNDIA	MG	BRASIL	2013-04-15	ATIVA	1
1991	50516	INCIDENTE GRAVE	POUSO LONGO	UBERLÂNDIA	MG	BRASIL	2013-12-14	ATIVA	1
1992	46340	INCIDENTE GRAVE	POUSO BRUSCO	UBERLÂNDIA	MG	BRASIL	2012-09-16	FINALIZADA	1
1993	49620	INCIDENTE GRAVE	PERDA DE CONTROLE NO SOLO	UBERLÂNDIA	MG	BRASIL	2013-09-08	FINALIZADA	1
1994	46413	ACIDENTE	POUSO SEM TREM	UBERLÂNDIA	MG	BRASIL	2012-09-24	FINALIZADA	1
1995	53108	INCIDENTE GRAVE	PERDA DE CONTROLE NO SOLO	UBERLÂNDIA	MG	BRASIL	2015-02-16	FINALIZADA	1
1996	45554	INCIDENTE GRAVE	POUSO LONGO	UBERLÂNDIA	MG	BRASIL	2011-11-15	FINALIZADA	1
1997	50799	ACIDENTE	FALHA DO MOTOR EM VOO	UNAÍ	MG	BRASIL	2014-01-31	FINALIZADA	1
1998	31315	ACIDENTE	PERDA DE CONTROLE EM VOO	UNAÍ	MG	BRASIL	2007-12-30	ATIVA	1
1999	44576	ACIDENTE	INDETERMINADA	UNIÃO DE MINAS	MG	BRASIL	2011-05-28	ATIVA	1
2000	53259	ACIDENTE	COLISÃO EM VOO COM OBSTÁCULO	VARGEM BONITA	MG	BRASIL	2015-05-02		1
2001	49934	INCIDENTE GRAVE	POUSO SEM TREM	VARGINHA	MG	BRASIL	2013-10-12	FINALIZADA	1
2002	38577	ACIDENTE	CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO	VARGINHA	MG	BRASIL	2009-09-08	ATIVA	1
2003	52817	ACIDENTE	FALHA DO MOTOR EM VOO	VERÍSSIMO	MG	BRASIL	2014-12-03	FINALIZADA	1
2004	53268	ACIDENTE	POUSO LONGO	VIÇOSA	MG	BRASIL	2015-05-29	FINALIZADA	1
2005	51673	INCIDENTE GRAVE	OUTROS TIPOS	SANTANA DO LIVRAMENTO	RS	BRASIL	2014-06-23	FINALIZADA	1
2007	26861	INCIDENTE GRAVE	DESCOMPRESSÃO NÃO INTENCIONAL /  EXPLOSIVA	NÃO IDENTIFICADA	MG	BRASIL	2006-04-28	ATIVA	1
2008	53107	INCIDENTE GRAVE	COM PÁRA-BRISAS / JANELA / PORTA	NÃO IDENTIFICADA	RJ	BRASIL	2015-02-24	ATIVA	1
2009	27140	INCIDENTE GRAVE	TRÁFEGO AÉREO	NÃO IDENTIFICADA	SP	BRASIL	2006-05-16	ATIVA	1
2010	28115	INCIDENTE GRAVE	PERDA DE CONTROLE NO SOLO	NÃO IDENTIFICADA	SP	BRASIL	2006-10-06	ATIVA	1
2011	27730	INCIDENTE GRAVE	PERDA DE CONTROLE NO SOLO	NÃO IDENTIFICADA	SP	BRASIL	2006-08-27	ATIVA	1
2012	30680	INCIDENTE GRAVE	DESCOMPRESSÃO NÃO INTENCIONAL /  EXPLOSIVA	NÃO IDENTIFICADA	SP	BRASIL	2007-09-11	ATIVA	1
2013	27933	INCIDENTE GRAVE	DESCOMPRESSÃO NÃO INTENCIONAL /  EXPLOSIVA	NÃO IDENTIFICADA	RS	BRASIL	2006-11-06	ATIVA	1
2014	44380	ACIDENTE	INDETERMINADA	NÃO IDENTIFICADA	MT	BRASIL	2010-12-03	ATIVA	1
2015	30895	ACIDENTE	PERDA DE CONTROLE EM VOO	NÃO IDENTIFICADA	MT	BRASIL	2007-10-31	ATIVA	1
2016	28236	INCIDENTE GRAVE	FALHA DO MOTOR EM VOO	NÃO IDENTIFICADA	MT	BRASIL	2006-12-13	ATIVA	1
2017	27389	INCIDENTE GRAVE	POUSO BRUSCO	NÃO IDENTIFICADA	GO	BRASIL	2006-06-30	ATIVA	1
